île	5331
îlot	378
îlotier	1
ô	1295
ôter	2168
ôté	21
a capella	2
a cappella	2
a contrario	8
a fortiori	30
a giorno	8
a l'instar	1
a posteriori	10
a priori	164
a priori	17
a	4088
aînesse	19
aîné	750
aîné	992
aître	4
aï	101
aïd	11
aïe	726
aïeul	406
aïkido	6
aïoli	8
ab absurdo	2
ab initio	4
ab ovo	8
abîme	782
abîmer	1217
abaissant	8
abaisse-langue	4
abaisse	1
abaissement	70
abaisser	842
abaissé	27
abalone	17
abandon	1022
abandonner	8075
abandonneur	2
abandonnique	2
abandonné	1092
abaque	6
abasourdi	99
abasourdir	129
abasourdissant	2
abat-jour	325
abat-son	8
abat	64
abatage	2
abatis	28
abattage	53
abattant	21
abattement	87
abatteur	10
abattis	37
abattoir	243
abattre	3308
abattu	377
abattu	67
abatture	4
abbatial	19
abbatiale	4
abbaye	185
abbé	1306
abc	1
abcès	131
abdication	67
abdiquer	123
abdomen	105
abdominal	49
abdominal	27
abdos	35
abducteur	1
abeille	591
aber	7
aberrant	110
aberration	168
aberrer	6
abhorrer	65
abhorré	8
abject	180
abjectement	2
abjection	76
abjuration	15
abjurer	53
abkhaze	2
ablatif	4
ablation	71
able	45
ablette	32
ablution	52
abnégation	130
aboi	161
aboiement	209
aboli	89
abolir	373
abolition	75
abolitionniste	10
abolitionniste	21
abominable	514
abominablement	22
abomination	221
abominer	17
abondamment	181
abondance	384
abondant	263
abonder	194
abonnement	119
abonner	91
abonné	5
abonné	107
abord	682
abordable	26
abordage	83
aborder	1509
abordé	8
aborigène	10
aborigène	22
abornement	2
abortif	13
abâtardi	2
abâtardir	13
abouchement	2
aboucher	26
abouler	80
aboulie	4
aboulique	4
aboulique	2
abouna	2
about	27
abouter	4
abouti	16
aboutir	1014
aboutissant	40
aboutissement	143
aboutonner	2
aboyant	8
aboyer	625
aboyeur	6
aboyeur	19
abracadabra	57
abracadabrant	29
abracadabrer	1
abraser	2
abrasif	10
abrasif	13
abrasion	4
abreuvage	2
abreuver	241
abreuvoir	137
abreuvé	4
abri-refuge	2
abri	2887
abribus	4
abricot	27
abricot	122
abricoter	1
abricotier	17
abricotine	2
abritant	1
abriter	1163
abrité	41
abrogation	4
abroger	28
abrogé	1
abréger	297
abrégé	21
abrégé	27
abrupt	269
abrupt	15
abruptement	71
abruti	355
abruti	1123
abrutir	270
abrutissant	21
abrutissement	46
abrutisseur	2
abréviatif	2
abréviation	44
abscission	2
abscons	26
absence	3241
absent	1509
absent	244
absenter	419
absentéisme	8
absentéiste	1
abside	52
absidial	4
absidiole	2
absinthe	118
absinther	2
absolu	1507
absolu	256
absolument	5219
absolution	116
absolutisme	24
absolvant	4
absorbable	2
absorbant	53
absorbant	6
absorber	1222
absorbé	136
absorption	91
absoudre	164
absous	27
absoute	2
absoute	4
abstenir	413
abstention	43
abstentionniste	4
abstinence	117
abstinent	1
abstraction	127
abstraire	115
abstrait	428
abstrait	55
abstraitement	11
abstrus	17
abstruse	2
absurde	1599
absurde	238
absurdement	124
absurdiste	2
absurdité	273
abécédaire	2
abus	379
abuser	1038
abusif	82
abusivement	43
abusé	27
abêti	8
abêtir	43
abêtissement	17
abyme	2
abyssal	33
abysse	32
abyssin	6
abyssin	4
abyssinien	1
abyssinien	1
acabit	62
acacia	220
acadien	15
acadien	23
acadienne	1
académicien	52
académie	609
académique	74
académiquement	6
académiser	2
académisme	8
acagnarder	24
acajou	52
acajou	217
acanthe	21
acarien	6
acariâtre	56
accablant	211
accablement	123
accabler	812
accablé	187
accalmie	136
accalmir	2
accaparant	6
accaparer	168
accapareur	1
accastillage	8
accelerando	4
accent	1974
accentuation	8
accentuer	586
accentué	50
acceptable	276
acceptant	8
acceptation	184
accepter	10436
acception	17
accesseur	2
accessibilité	1
accessible	269
accession	55
accessit	2
accessoire	119
accessoire	412
accessoirement	30
accessoiriser	3
accessoiriste	45
accident	4936
accidentel	192
accidentellement	130
accidenter	24
accidenté	67
accidenté	29
accise	1
acclamation	169
acclamer	281
acclimatation	32
acclimatement	4
acclimater	93
accointance	32
accointer	6
accolade	105
accolement	2
accoler	95
accolé	22
accommodant	36
accommodateur	2
accommodation	13
accommodement	32
accommoder	503
accompagnant	8
accompagnateur	48
accompagnement	101
accompagner	6525
accompagné	73
accompli	542
accompli	8
accomplir	2728
accomplissement	190
accord	30201
accordailles	2
accordement	2
accorder	3739
accordeur	37
accordo	2
accordé	150
accordéon	207
accordéoniste	58
accore	4
accore	2
accort	26
accostage	38
accostant	2
accoster	201
accotement	48
accoter	79
accotoir	2
accoté	2
accouchement	315
accoucher	697
accoucheur	30
accouchée	41
accouder	585
accoudoir	173
accoudé	13
accouplement	130
accoupler	187
accourcir	2
accourir	702
accoutrement	119
accoutrer	19
accoutré	13
accoutumance	59
accoutumer	308
accoutumé	174
accouver	2
accra	1
accro	328
accro	92
accroître	541
accroc	150
accrochage	97
accrochant	6
accroche-coeur	30
accroche	52
accrocher	5264
accrocheur	36
accroché	151
accroire	17
accroissement	59
accroupi	283
accroupir	884
accroupissement	6
accru	116
accréditation	5
accréditer	54
accréditif	2
accrédité	12
accrédité	4
accrue	2
accrétion	1
accès	2197
accu	18
accéder	963
accueil	901
accueillant	227
accueillir	2789
acculer	199
acculé	8
accélérant	1
accélérateur	16
accélérateur	194
accélération	183
accélérer	1116
